TEAM_REF,HOME_BASE,NETWORK_ZONE,DISTANCE_TO_NODE,ASSIGNMENT_NOTE,source_url_x,TRACK,AI_INTENSITY,INNOVATION_SCORE,SPRING_NOTE,source_url_y,PITCH_TRACK,ELIGIBILITY_SCORE,SERVER_CREDITS,PANEL_NOTE,source_url
SC011Open Cart,Campus Village,Student village relay,0.66 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~50.2 model hrs,54.4 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,78.4 points,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC012Signal Cart,Plaza Verde,ACC uplink east,718 meters (sync route),Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,55.1 builder hours,61.0 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,Score: 82.4 pts,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC013Anteater Pulse,Arroyo Vista,Greek village relay,873 m,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,42.8 gpu-hrs/wk,57.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,81.9 / 100,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC014Mesa Pulse,Verano Place,Graduate housing switch,1.07 km from backbone,Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~44.3 model hrs,53.0 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,Pitch rating = 78.3,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC015Zot Pulse,Stanford Court,UTC west relay,~1.13km,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,45.6 builder hours,69.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,87.3 score,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC016Bren Pulse,Berkeley Court,UTC south relay,"Distance: 1,454 meters",Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,34.1 gpu-hrs/wk,51.8 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,panel avg 77.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC017Petr Pulse,Mesa Court West,Dorm uplink A,0.28 km | fiber hop,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~52.3 model hrs,54.8 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,78.3 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC018Ring Pulse,Middle Earth Towers,Residential switch B,355 meters (sync route),Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,72.1 builder hours,75.3 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,Score: 91.9 pts,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC019Blue Pulse,Campus Village,Student village relay,584 m,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,64.0 gpu-hrs/wk,54.4 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,75.4 / 100,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC020Gold Pulse,Plaza Verde,ACC uplink east,0.88 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~45.5 model hrs,57.9 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,Pitch rating = 82.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC021Arc Pulse,Arroyo Vista,Greek village relay,~0.89km,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,61.6 builder hours,72.9 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,91.3 score,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC022Bridge Pulse,Verano Place,Graduate housing switch,"Distance: 1,094 meters",Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,42.3 gpu-hrs/wk,57.0 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,panel avg 83.5,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC023Open Pulse,Stanford Court,UTC west relay,1.26 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~39.6 model hrs,52.8 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,78.8 points,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC024Signal Pulse,Berkeley Court,UTC south relay,"1,484 meters (sync route)",Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,43.8 builder hours,69.0 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,Score: 85.6 pts,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC025Anteater Loop,Mesa Court West,Dorm uplink A,289 m,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,67.0 gpu-hrs/wk,72.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,87.0 / 100,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC026Mesa Loop,Middle Earth Towers,Residential switch B,0.42 km from backbone,Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~64.9 model hrs,58.1 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,Pitch rating = 79.1,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC027Zot Loop,Campus Village,Student village relay,~0.59km,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,54.0 builder hours,56.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,79.1 score,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC028Bren Loop,Plaza Verde,ACC uplink east,Distance: 710 meters,Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,48.3 gpu-hrs/wk,59.2 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,panel avg 84.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC029Petr Loop,Arroyo Vista,Greek village relay,0.84 km | fiber hop,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~36.8 model hrs,57.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,83.8 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC030Ring Loop,Verano Place,Graduate housing switch,952 meters (sync route),Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,49.8 builder hours,53.3 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,Score: 77.3 pts,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC031Blue Loop,Stanford Court,UTC west relay,"1,185 m",Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,48.6 gpu-hrs/wk,50.8 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,75.1 / 100,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC032Gold Loop,Berkeley Court,UTC south relay,1.45 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~49.7 model hrs,69.0 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,Pitch rating = 87.4,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC033Arc Loop,Mesa Court West,Dorm uplink A,~0.31km,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,54.6 builder hours,73.8 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,94.8 score,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC034Bridge Loop,Middle Earth Towers,Residential switch B,Distance: 482 meters,Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,66.2 gpu-hrs/wk,77.5 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,panel avg 96.4,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC035Open Loop,Campus Village,Student village relay,0.55 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~59.4 model hrs,72.3 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,91.2 points,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC036Signal Loop,Plaza Verde,ACC uplink east,780 meters (sync route),Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,46.2 builder hours,51.8 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,Score: 76.6 pts,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC037Anteater Market,Arroyo Vista,Greek village relay,859 m,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,38.5 gpu-hrs/wk,57.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,80.1 / 100,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC038Mesa Market,Verano Place,Graduate housing switch,1.03 km from backbone,Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~44.9 model hrs,53.6 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,Pitch rating = 78.7,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC039Zot Market,Stanford Court,UTC west relay,~1.23km,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,40.5 builder hours,57.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,83.5 score,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC040Bren Market,Berkeley Court,UTC south relay,"Distance: 1,463 meters",Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,41.1 gpu-hrs/wk,70.1 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,panel avg 91.6,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC041Petr Market,Mesa Court West,Dorm uplink A,0.23 km | fiber hop,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~55.7 model hrs,61.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,82.4 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC042Ring Market,Middle Earth Towers,Residential switch B,386 meters (sync route),Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,142.7 builder hours,51.7 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,Score: 72.7 pts,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC043Blue Market,Campus Village,Student village relay,534 m,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,60.5 gpu-hrs/wk,73.0 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,91.8 / 100,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC044Gold Market,Plaza Verde,ACC uplink east,0.87 km from backbone,Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~54.7 model hrs,70.6 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,Pitch rating = 86.2,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC045Arc Market,Arroyo Vista,Greek village relay,~0.76km,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,51.0 builder hours,58.8 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,84.6 score,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC046Bridge Market,Verano Place,Graduate housing switch,"Distance: 1,029 meters",Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,35.0 gpu-hrs/wk,48.2 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,panel avg 74.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC047Open Market,Stanford Court,UTC west relay,1.22 km | fiber hop,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~26.3 model hrs,52.2 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,78.2 points,Waitlist / mentor hours,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC048Signal Market,Berkeley Court,UTC south relay,"1,311 meters (sync route)",Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,40.9 builder hours,57.0 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,Score: 84.2 pts,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC049Anteater Match,Mesa Court West,Dorm uplink A,226 m,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,61.6 gpu-hrs/wk,69.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,86.9 / 100,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC050Mesa Match,Middle Earth Towers,Residential switch B,0.37 km from backbone,Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~64.4 model hrs,60.8 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,Pitch rating = 83.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC051Zot Match,Campus Village,Student village relay,~0.60km,Distance field kept the archive unit exactly as shown in the facilities pull.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,55.2 builder hours,69.7 / 100,Metrics were pulled after demo day QA and were not unit-normalized.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,88.7 score,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC052Bren Match,Plaza Verde,ACC uplink east,Distance: 859 meters,Student hub was matched to the nearest sync cabinet used by the incubator.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Campus Commerce,45.8 gpu-hrs/wk,52.4 score,Innovation review kept the original mixed score formatting from the incubator export.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Campus Commerce,panel avg 77.3,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC053Petr Match,Arroyo Vista,Greek village relay,0.92 km | fiber hop,Housing export preserved the original backbone routing label.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Creator Tools,~48.5 model hrs,69.0 / 100,Usage load reflects model prototyping during the winter and spring build cycle.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Creator Tools,88.1 points,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
SC054Ring Match,Verano Place,Graduate housing switch,"1,037 meters (sync route)",Administrative placement log was finalized before spring showcase scoring.,https://bana290-assignment4.netlify.app/briefs/fiber-access-bulletin,Mobility,53.4 builder hours,70.5 score,Archive note says a hackathon week may have inflated some compute logs.,https://bana290-assignment4.netlify.app/briefs/builder-metrics-ledger,Mobility,Score: 87.3 pts,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.,https://bana290-assignment4.netlify.app/briefs/anteater-fund-panel
